,period,aqi,natural_gas_value,coal_value
151,2024-08-16,1.743001263865367,150983.0903232877,1330.0927767270355
152,2024-08-17,1.7429966884421502,150980.9736644563,1330.1993284331409
153,2024-08-18,1.742992295997696,150978.94164976646,1330.3016224753983
154,2024-08-19,1.74298807921197,150976.99089343395,1330.3998288796795
155,2024-08-20,1.7429840310579807,150975.1181451843,1330.4941108910075
156,2024-08-21,1.74298014479003,150973.3202848226,1330.5846252432154
157,2024-08-22,1.74297641393244,150971.59431702166,1330.6715224179509
158,2024-08-23,1.742972832268725,150969.9373663192,1330.754946893429
159,2024-08-24,1.7429693938312065,150968.3466723163,1330.8350373833537
160,2024-08-25,1.7429660928910422,150966.81958506798,1330.9119270663725
161,2024-08-26,1.742962923948656,150965.3535606597,1330.9857438064544
162,2024-08-27,1.7429598817245529,150963.9461569608,1331.0566103645249
163,2024-08-28,1.7429569611505014,150962.59502954842,1331.1246446017187
164,2024-08-30,1.742954157361071,150961.29792779515,1331.1899596745702
165,2024-08-31,1.74295146568551,150960.05269111332,1331.2526642224611
166,2024-09-01,1.74294888163995,150958.85724535037,1331.312862547628
167,2024-09-02,1.742946400919919,150957.70959932831,1331.3706547880256
168,2024-09-03,1.7429440193931596,150956.60784152214,1331.4261370833215
169,2024-09-04,1.7429417330927324,150955.5501368715,1331.4794017343024
170,2024-09-05,1.7429395382103987,150954.53472371987,1331.5305373559388
171,2024-09-07,1.7429374310902668,150953.5599108769,1331.57962902437
172,2024-09-08,1.7429354082226896,150952.6240747979,1331.6267584180441
173,2024-09-09,1.7429334662384162,150951.72565687684,1331.6720039532431
174,2024-09-10,1.742931601902968,150950.86316084748,1331.715440914217
175,2024-09-11,1.742929812111247,150950.0351502887,1331.7571415781438
176,2024-09-17,1.7429280938823548,150949.24024623,1331.7971753351076
177,2024-09-18,1.742926444354624,150948.47712485256,1331.8356088033102
178,2024-09-19,1.7429248607808476,150947.7445152826,1331.872505939686
179,2024-10-01,1.7429233405236961,150947.04119747298,1331.907928146123
180,2024-10-02,1.7429218810513236,150946.36600016966,1331.9419343714403
181,2024-10-07,1.742920479933143,150945.71779895978,1331.9745812093092
182,2024-10-08,1.7429191348357789,150945.0955143976,1332.0059229922763
183,2024-10-09,1.7429178435191748,150944.49811020555,1332.0360118820308
184,2024-10-10,1.742916603832862,150943.92459154743,1332.0648979560826
185,2024-10-11,1.742915413712374,150943.37400337073,1332.0926292909755
186,2024-10-12,1.742914271175804,150942.84542881502,1332.1192520421946
187,2024-10-13,1.7429131743205069,150942.33798768444,1332.1448105208758
188,2024-10-14,1.742912121319924,150941.85083498096,1332.1693472674651
